Producto;Tiendas;Categoría;Precio;Envío;Año;Fecha;Vendedor;Lugar de Compra;Calificación;Método de pago;Cantidad de cuotas;lat;lon
Balón de voleibol;3;Deportes y diversión;574000;77000;2021;15-04-2021;Camila Rivera;Bogotá;4;Tarjeta de crédito;1;460971;-7408175
Refrigerador;3;Electrodomésticos;24131000;1287000;2022;20-12-2022;Felipe Santos;Bogotá;4;Tarjeta de crédito;8;460971;-7408175
Kit de bancas;3;Muebles;3365000;161000;2023;18-02-2023;Blanca Ramirez;Medellín;1;Tarjeta de crédito;10;625184;-7556359
Juego de mesa;3;Juguetes;1656000;70000;2020;30-07-2020;Ángel Rodriguez;Riohacha;5;Tarjeta de crédito;2;1154444;-7290722
Modelado predictivo;3;Libros;453000;26000;2023;12-03-2023;Camila Rivera;Bogotá;5;Tarjeta de crédito;3;460971;-7408175
Bicicleta;3;Deportes y diversión;6999000;355000;2021;17-10-2021;Maria Alfonso;Pasto;3;Tarjeta de crédito;10;121361;-7728111
Ajedrez de madera;3;Juguetes;258000;0;2020;15-02-2020;Beatriz Morales;Medellín;3;Tarjeta de crédito;1;625184;-7556359
Cubertería;3;Artículos para el hogar;452000;36000;2022;05-11-2022;Beatriz Morales;Bogotá;5;Nequi;1;460971;-7408175
Celular ABXY;3;Electrónicos;7177000;364000;2020;29-10-2020;Juan Fernandez;Cali;5;Nequi;1;343722;-765225
Mesa de noche;3;Muebles;2457000;113000;2020;20-02-2020;Juan Fernandez;Bogotá;5;Nequi;1;460971;-7408175
Celular ABXY;3;Electrónicos;11101000;595000;2022;16-04-2022;Ángel Rodriguez;Bogotá;4;Nequi;1;460971;-7408175
Secadora de ropa;3;Electrodomésticos;11905000;616000;2020;25-02-2020;Ángel Rodriguez;Bogotá;5;Tarjeta de crédito;6;460971;-7408175
Sofá reclinable;3;Muebles;6141000;334000;2020;29-05-2020;Mariana Herrera;Leticia;3;Tarjeta de crédito;3;-421528;-6994056
Mesa de comedor;3;Muebles;3137000;191000;2020;10-12-2020;Ángel Rodriguez;Bucaramanga;1;Tarjeta de crédito;3;712539;-731198
Vaso térmico;3;Deportes y diversión;620000;40000;2022;24-03-2022;Beatriz Morales;Bogotá;5;Tarjeta de crédito;10;460971;-7408175
Muñeca bebé;3;Juguetes;468000;30000;2020;23-01-2020;Ángel Rodriguez;Medellín;5;Tarjeta de crédito;1;625184;-7556359
Cuerda para saltar;3;Deportes y diversión;135000;55000;2021;03-07-2021;Juan Fernandez;Cali;5;Tarjeta de crédito;10;343722;-765225
Ciencia de datos con Python;3;Libros;724000;46000;2022;27-01-2022;Izabela de León;Leticia;5;Cupón;1;-421528;-6994056
Bicicleta;3;Deportes y diversión;5070000;277000;2022;25-03-2022;Maria Alfonso;Riohacha;1;Tarjeta de crédito;2;1154444;-7290722
Cama box;3;Muebles;5073000;252000;2021;12-04-2021;Ángel Rodriguez;Cali;5;Nequi;1;343722;-765225
Cama king;3;Muebles;5617000;301000;2021;05-05-2021;Beatriz Morales;Cali;5;Tarjeta de crédito;1;343722;-765225
Mochila;3;Deportes y diversión;900000;50000;2020;05-02-2020;Beatriz Morales;Santa Marta;5;Tarjeta de crédito;2;1124079;-7419904
Bicicleta;3;Deportes y diversión;4537000;246000;2020;12-11-2020;Juliana Costa;Pereira;5;Tarjeta de crédito;2;481333;-7569611
Microondas;3;Electrodomésticos;5836000;313000;2021;19-05-2021;Juliana Costa;Barranquilla;5;Nequi;1;1096854;-7478132
Guitarra eléctrica;3;Instrumentos musicales;7546000;406000;2022;25-09-2022;Maria Alfonso;Bogotá;4;Tarjeta de crédito;3;460971;-7408175
Auriculares con micrófono;3;Electrónicos;1371000;75000;2021;24-07-2021;Blanca Ramirez;Barranquilla;5;Tarjeta de crédito;3;1096854;-7478132
Mesa de noche;3;Muebles;3368000;161000;2020;07-02-2020;Santiago Silva;Cali;4;Tarjeta de crédito;6;343722;-765225
Sofá reclinable;3;Muebles;7200000;365000;2022;28-03-2022;Blanca Ramirez;Medellín;1;Tarjeta de crédito;3;625184;-7556359
Silla de oficina;3;Muebles;4297000;253000;2020;06-08-2020;Maria Alfonso;Bogotá;5;Nequi;1;460971;-7408175
Dinosaurio Rex;3;Juguetes;175000;0;2020;15-06-2020;Mariana Herrera;Bogotá;5;Tarjeta de crédito;3;460971;-7408175
Batería;3;Instrumentos musicales;5726000;287000;2020;10-11-2020;Blanca Ramirez;Bucaramanga;4;Tarjeta de crédito;5;712539;-731198
Impresora;3;Electrónicos;3579000;172000;2022;07-03-2022;Maria Alfonso;Bogotá;5;Nequi;1;460971;-7408175
Secadora de ropa;3;Electrodomésticos;9941000;511000;2021;27-08-2021;Camila Rivera;Bogotá;4;Tarjeta de crédito;4;460971;-7408175
Smartwatch;3;Electrónicos;1567000;65000;2021;09-04-2021;Ángel Rodriguez;Bogotá;5;Tarjeta de crédito;1;460971;-7408175
Set de ollas;3;Artículos para el hogar;2014000;111000;2021;01-05-2021;Santiago Silva;Barranquilla;5;Cupón;1;1096854;-7478132
Guitarra eléctrica;3;Instrumentos musicales;7712000;417000;2020;07-07-2020;Pedro Gomez;Medellín;4;Tarjeta de crédito;1;625184;-7556359
Armario;3;Muebles;4597000;249000;2022;24-08-2022;Juliana Costa;Cali;3;Nequi;1;343722;-765225
Kit de bancas;3;Muebles;2982000;141000;2021;08-09-2021;Maria Alfonso;Bogotá;4;Tarjeta de débito;1;460971;-7408175
Iniciando en programación;3;Libros;454000;0;2022;04-02-2022;Maria Alfonso;Leticia;5;Nequi;1;-421528;-6994056
Ciencia de datos con Python;3;Libros;454000;28000;2020;18-07-2020;Santiago Silva;Medellín;3;Tarjeta de crédito;2;625184;-7556359
Modelado predictivo;3;Libros;714000;49000;2021;09-07-2021;Camila Rivera;Bogotá;1;Tarjeta de crédito;4;460971;-7408175
Smartwatch;3;Electrónicos;2146000;96000;2022;31-05-2022;Rafael Acosta;Medellín;5;Tarjeta de débito;1;625184;-7556359
Smartwatch;3;Electrónicos;1738000;74000;2023;14-01-2023;Juliana Costa;Medellín;5;Tarjeta de crédito;2;625184;-7556359
Sillón;3;Muebles;2008000;89000;2022;16-08-2022;Lucas Olivera;Leticia;5;Nequi;1;-421528;-6994056
Cubo mágico 8x8;3;Juguetes;88000;0;2022;13-06-2022;Ángel Rodriguez;Bogotá;5;Tarjeta de crédito;8;460971;-7408175
Juego de mesa;3;Juguetes;1934000;105000;2022;07-01-2022;Mariana Herrera;Cali;5;Tarjeta de crédito;1;343722;-765225
Smart TV;3;Electrónicos;16067000;837000;2021;15-03-2021;Ángel Rodriguez;Bogotá;5;Tarjeta de crédito;3;460971;-7408175
Sillón;3;Muebles;2908000;159000;2020;18-01-2020;Santiago Silva;Pereira;1;Tarjeta de crédito;5;481333;-7569611
Sillón;3;Muebles;2630000;122000;2022;12-09-2022;Mariana Herrera;Medellín;4;Tarjeta de crédito;10;625184;-7556359
Balón de voleibol;3;Deportes y diversión;502000;9000;2020;04-06-2020;Juan Fernandez;Bogotá;5;Tarjeta de crédito;2;460971;-7408175
TV LED UHD 4K;3;Electrónicos;27641000;1479000;2022;02-05-2022;Ángel Rodriguez;Pereira;5;Nequi;1;481333;-7569611
Celular ABXY;3;Electrónicos;12472000;666000;2021;05-12-2021;Blanca Ramirez;Bogotá;5;Tarjeta de crédito;10;460971;-7408175
Iniciando en programación;3;Libros;664000;107000;2022;15-07-2022;Ángel Rodriguez;Pereira;1;Tarjeta de crédito;10;481333;-7569611
Guitarra eléctrica;3;Instrumentos musicales;7795000;397000;2020;31-05-2020;Beatriz Morales;Medellín;5;Nequi;1;625184;-7556359
Cuerda para saltar;3;Deportes y diversión;232000;14000;2020;30-04-2020;Santiago Silva;Bogotá;5;Tarjeta de crédito;1;460971;-7408175
Cuerda para saltar;3;Deportes y diversión;215000;22000;2021;09-07-2021;Beatriz Morales;Leticia;3;Tarjeta de crédito;4;-421528;-6994056
Celular ABXY;3;Electrónicos;11179000;629000;2022;01-06-2022;Felipe Santos;Medellín;5;Tarjeta de crédito;5;625184;-7556359
Estufa;3;Electrodomésticos;4172000;204000;2020;22-03-2020;Santiago Silva;Cali;5;Cupón;1;343722;-765225
Batería;3;Instrumentos musicales;7413000;377000;2021;16-10-2021;Camila Rivera;Medellín;3;Tarjeta de crédito;8;625184;-7556359
Refrigerador;3;Electrodomésticos;21684000;1157000;2022;09-03-2022;Beatriz Morales;Cali;3;Tarjeta de crédito;1;343722;-765225
Cama box;3;Muebles;3599000;174000;2022;19-04-2022;Maria Alfonso;Pereira;4;Nequi;1;481333;-7569611
Armario;3;Muebles;5198000;259000;2022;21-07-2022;Juan Fernandez;Medellín;5;Tarjeta de crédito;8;625184;-7556359
Olla de presión;3;Artículos para el hogar;759000;43000;2021;04-01-2021;Felipe Santos;Bogotá;4;Tarjeta de crédito;1;460971;-7408175
Carrito de control remoto;3;Juguetes;652000;17000;2020;12-12-2020;Ángel Rodriguez;Medellín;4;Tarjeta de crédito;1;625184;-7556359
Dinosaurio Rex;3;Juguetes;158000;12000;2023;30-03-2023;Mariana Herrera;Medellín;5;Tarjeta de crédito;2;625184;-7556359
Cubo mágico 8x8;3;Juguetes;143000;10000;2020;27-02-2020;Blanca Ramirez;Pereira;5;Tarjeta de crédito;2;481333;-7569611
Ajedrez de madera;3;Juguetes;364000;21000;2022;28-10-2022;Rafael Acosta;Medellín;5;Tarjeta de crédito;4;625184;-7556359
Smart TV;3;Electrónicos;14751000;788000;2022;09-05-2022;Rafael Acosta;Leticia;5;Tarjeta de crédito;1;-421528;-6994056
Mesa de comedor;3;Muebles;1834000;100000;2021;05-03-2021;Felipe Santos;Medellín;2;Tarjeta de crédito;1;625184;-7556359
Smartwatch;3;Electrónicos;1398000;78000;2022;04-04-2022;Rafael Acosta;Medellín;5;Tarjeta de crédito;2;625184;-7556359
Olla de presión;3;Artículos para el hogar;545000;41000;2021;07-05-2021;Felipe Santos;Bogotá;5;Tarjeta de crédito;6;460971;-7408175
Set de vasos;3;Artículos para el hogar;389000;0;2022;14-12-2022;Mariana Herrera;Medellín;4;Tarjeta de crédito;6;625184;-7556359
Impresora;3;Electrónicos;3723000;205000;2022;03-03-2022;Izabela de León;Cali;4;Nequi;1;343722;-765225
Batería;3;Instrumentos musicales;4422000;217000;2021;08-08-2021;Lucas Olivera;Medellín;5;Tarjeta de crédito;1;625184;-7556359
Juego de mesa;3;Juguetes;1382000;76000;2022;11-03-2022;Camila Rivera;Barranquilla;4;Nequi;1;1096854;-7478132
Batería;3;Instrumentos musicales;8253000;421000;2021;06-12-2021;Camila Rivera;Bogotá;4;Tarjeta de crédito;4;460971;-7408175
Pandereta;3;Instrumentos musicales;658000;17000;2020;28-09-2020;Juliana Costa;Leticia;4;Tarjeta de crédito;3;-421528;-6994056
Lavadora de ropa;3;Electrodomésticos;12505000;648000;2021;06-08-2021;Felipe Santos;Cartagena;3;Tarjeta de crédito;5;1039972;-7551444
Guitarra acústica;3;Instrumentos musicales;2999000;162000;2021;06-03-2021;Santiago Silva;Cartagena;1;Tarjeta de crédito;1;1039972;-7551444
Cubo mágico 8x8;3;Juguetes;154000;0;2020;06-09-2020;Juan Fernandez;Bogotá;4;Tarjeta de crédito;1;460971;-7408175
Lavavajillas;3;Electrodomésticos;11279000;582000;2020;09-09-2020;Maria Alfonso;Bogotá;5;Cupón;1;460971;-7408175
Refrigerador;3;Electrodomésticos;15537000;809000;2020;03-09-2020;Juan Fernandez;Bogotá;3;Nequi;1;460971;-7408175
Dashboards con Power BI;3;Libros;396000;26000;2022;02-05-2022;Juliana Costa;Bogotá;4;Nequi;1;460971;-7408175
Sillón;3;Muebles;2561000;118000;2022;29-09-2022;Pedro Gomez;Cali;5;Tarjeta de crédito;4;343722;-765225
Microondas;3;Electrodomésticos;5570000;278000;2022;02-02-2022;Izabela de León;Bogotá;5;Tarjeta de crédito;1;460971;-7408175
Cuerda para saltar;3;Deportes y diversión;227000;0;2022;10-11-2022;Juliana Costa;Bogotá;1;Tarjeta de crédito;1;460971;-7408175
Pandereta;3;Instrumentos musicales;708000;40000;2021;25-12-2021;Blanca Ramirez;Medellín;1;Tarjeta de crédito;2;625184;-7556359
Set de vasos;3;Artículos para el hogar;293000;18000;2022;14-01-2022;Felipe Santos;Cartagena;4;Tarjeta de crédito;1;1039972;-7551444
Lavavajillas;3;Electrodomésticos;12240000;654000;2020;26-03-2020;Izabela de León;Bogotá;5;Tarjeta de crédito;3;460971;-7408175
Mesa de comedor;3;Muebles;1821000;99000;2022;04-12-2022;Pedro Gomez;Bogotá;5;Tarjeta de crédito;10;460971;-7408175
Mesa de noche;3;Muebles;3249000;177000;2020;23-11-2020;Rafael Acosta;Bogotá;4;Nequi;1;460971;-7408175
Guitarra eléctrica;3;Instrumentos musicales;6097000;307000;2020;20-04-2020;Blanca Ramirez;Medellín;3;Nequi;1;625184;-7556359
Armario;3;Muebles;5119000;275000;2021;28-03-2021;Felipe Santos;Leticia;4;Tarjeta de crédito;3;-421528;-6994056
Cama box;3;Muebles;6416000;324000;2020;04-05-2020;Felipe Santos;Cali;5;Nequi;1;343722;-765225
Asistente virtual;3;Electrónicos;2249000;126000;2022;11-11-2022;Mariana Herrera;Barranquilla;4;Tarjeta de crédito;4;1096854;-7478132
Ajedrez de madera;3;Juguetes;290000;19000;2020;01-09-2020;Maria Alfonso;Medellín;5;Nequi;1;625184;-7556359
Guitarra eléctrica;3;Instrumentos musicales;7574000;405000;2020;12-07-2020;Juliana Costa;Bogotá;4;Tarjeta de crédito;1;460971;-7408175
Olla de presión;3;Artículos para el hogar;686000;18000;2020;12-08-2020;Juliana Costa;Bogotá;5;Tarjeta de crédito;4;460971;-7408175
Guitarra eléctrica;3;Instrumentos musicales;8369000;428000;2022;01-08-2022;Mariana Herrera;Medellín;5;Nequi;1;625184;-7556359
Silla de oficina;3;Muebles;2646000;215000;2020;27-01-2020;Pedro Gomez;Cali;5;Nequi;1;343722;-765225
Estufa;3;Electrodomésticos;4657000;230000;2022;07-01-2022;Camila Rivera;Bogotá;5;Tarjeta de crédito;1;460971;-7408175
Sofá reclinable;3;Muebles;7318000;392000;2023;05-01-2023;Juliana Costa;Medellín;5;Nequi;1;625184;-7556359
Modelado predictivo;3;Libros;507000;29000;2023;19-01-2023;Lucas Olivera;Pereira;4;Cupón;1;481333;-7569611
Bloques de construcción;3;Juguetes;375000;0;2022;10-08-2022;Maria Alfonso;Cali;4;Nequi;1;343722;-765225
Set de ollas;3;Artículos para el hogar;1939000;85000;2021;01-08-2021;Ángel Rodriguez;Bogotá;5;Tarjeta de crédito;1;460971;-7408175
Batería;3;Instrumentos musicales;6466000;349000;2022;28-07-2022;Blanca Ramirez;Bogotá;1;Tarjeta de crédito;6;460971;-7408175
Cama box;3;Muebles;6794000;366000;2022;04-11-2022;Felipe Santos;Cúcuta;5;Tarjeta de crédito;1;789391;-7250782
Kit de bancas;3;Muebles;3272000;156000;2020;23-10-2020;Izabela de León;Neiva;5;Nequi;1;29273;-7528189
Tablet ABXY;3;Electrónicos;9802000;609000;2020;01-08-2020;Pedro Gomez;Bogotá;2;Tarjeta de crédito;1;460971;-7408175
Armario;3;Muebles;4984000;247000;2022;02-09-2022;Santiago Silva;Santa Marta;1;Tarjeta de crédito;6;1124079;-7419904
Dinosaurio Rex;3;Juguetes;155000;12000;2022;25-05-2022;Beatriz Morales;Bucaramanga;5;Nequi;1;712539;-731198
Olla de presión;3;Artículos para el hogar;957000;56000;2022;23-04-2022;Juan Fernandez;Cali;5;Tarjeta de crédito;4;343722;-765225
Estufa;3;Electrodomésticos;5131000;255000;2020;24-05-2020;Blanca Ramirez;Bogotá;5;Tarjeta de crédito;1;460971;-7408175
Mochila;3;Deportes y diversión;908000;61000;2021;04-01-2021;Juliana Costa;Bogotá;5;Tarjeta de crédito;1;460971;-7408175
Cubo mágico 8x8;3;Juguetes;92000;0;2021;24-11-2021;Camila Rivera;Bogotá;3;Tarjeta de crédito;1;460971;-7408175
Refrigerador;3;Electrodomésticos;21997000;1153000;2022;14-03-2022;Felipe Santos;Medellín;5;Tarjeta de crédito;8;625184;-7556359
Auriculares;3;Electrónicos;1029000;61000;2020;14-09-2020;Juan Fernandez;Santa Marta;5;Tarjeta de crédito;5;1124079;-7419904
Lavavajillas;3;Electrodomésticos;13934000;724000;2022;25-10-2022;Beatriz Morales;Cali;4;Nequi;1;343722;-765225
Muñeca bebé;3;Juguetes;496000;8000;2021;02-06-2021;Pedro Gomez;Bogotá;4;Tarjeta de crédito;1;460971;-7408175
Guitarra acústica;3;Instrumentos musicales;3349000;185000;2021;09-10-2021;Juan Fernandez;Barranquilla;3;Tarjeta de crédito;4;1096854;-7478132
Armario;3;Muebles;5179000;282000;2020;15-10-2020;Camila Rivera;Bogotá;5;Tarjeta de crédito;10;460971;-7408175
Bloques de construcción;3;Juguetes;328000;0;2021;15-05-2021;Maria Alfonso;Bogotá;5;Cupón;1;460971;-7408175
Lavadora de ropa;3;Electrodomésticos;13973000;726000;2022;25-12-2022;Juliana Costa;Bogotá;5;Tarjeta de crédito;2;460971;-7408175
Cubo mágico 8x8;3;Juguetes;172000;0;2020;13-11-2020;Juan Fernandez;Bucaramanga;4;Tarjeta de crédito;2;712539;-731198
Armario;3;Muebles;5163000;343000;2022;10-08-2022;Juan Fernandez;Medellín;5;Tarjeta de crédito;3;625184;-7556359
Cama box;3;Muebles;6698000;339000;2020;30-04-2020;Camila Rivera;Bogotá;5;Cupón;1;460971;-7408175
Auriculares con micrófono;3;Electrónicos;1369000;55000;2023;03-03-2023;Mariana Herrera;Medellín;1;Tarjeta de crédito;5;625184;-7556359
Cama box;3;Muebles;6458000;356000;2021;28-11-2021;Blanca Ramirez;Medellín;3;Tarjeta de crédito;1;625184;-7556359
Balón de baloncesto;3;Deportes y diversión;737000;21000;2022;19-12-2022;Izabela de León;Cali;1;Tarjeta de crédito;2;343722;-765225
Cuerda para saltar;3;Deportes y diversión;126000;9000;2020;11-10-2020;Camila Rivera;Medellín;5;Tarjeta de crédito;2;625184;-7556359
Armario;3;Muebles;5024000;271000;2020;08-12-2020;Santiago Silva;Bogotá;5;Tarjeta de crédito;8;460971;-7408175
Muñeca bebé;3;Juguetes;586000;38000;2020;07-07-2020;Felipe Santos;Cali;5;Tarjeta de crédito;1;343722;-765225
Auriculares;3;Electrónicos;433000;71000;2022;12-12-2022;Rafael Acosta;Bogotá;5;Tarjeta de crédito;1;460971;-7408175
Balón de baloncesto;3;Deportes y diversión;455000;31000;2020;10-07-2020;Camila Rivera;Medellín;4;Tarjeta de crédito;1;625184;-7556359
Dashboards con Power BI;3;Libros;298000;20000;2021;03-11-2021;Izabela de León;Medellín;5;Tarjeta de crédito;2;625184;-7556359
Balón de baloncesto;3;Deportes y diversión;619000;35000;2022;30-09-2022;Pedro Gomez;Medellín;5;Tarjeta de crédito;1;625184;-7556359
Auriculares con micrófono;3;Electrónicos;766000;43000;2021;21-09-2021;Santiago Silva;Bogotá;4;Tarjeta de crédito;1;460971;-7408175
Pandereta;3;Instrumentos musicales;677000;18000;2022;20-03-2022;Lucas Olivera;Medellín;5;Tarjeta de crédito;1;625184;-7556359
Vaso térmico;3;Deportes y diversión;386000;0;2020;11-04-2020;Ángel Rodriguez;Bogotá;5;Tarjeta de crédito;1;460971;-7408175
Cubertería;3;Artículos para el hogar;397000;55000;2021;13-01-2021;Blanca Ramirez;Medellín;2;Tarjeta de crédito;1;625184;-7556359
Olla de presión;3;Artículos para el hogar;870000;48000;2022;31-01-2022;Camila Rivera;Cali;5;Tarjeta de crédito;4;343722;-765225
Muñeca bebé;3;Juguetes;434000;0;2021;20-04-2021;Camila Rivera;Pereira;4;Tarjeta de crédito;7;481333;-7569611
Auriculares;3;Electrónicos;1396000;79000;2023;17-01-2023;Maria Alfonso;Bogotá;5;Tarjeta de crédito;1;460971;-7408175
Set de ollas;3;Artículos para el hogar;2047000;113000;2022;03-07-2022;Maria Alfonso;Bogotá;5;Tarjeta de crédito;3;460971;-7408175
Smart TV;3;Electrónicos;12755000;661000;2020;12-06-2020;Felipe Santos;Bogotá;5;Tarjeta de crédito;2;460971;-7408175
Secadora de ropa;3;Electrodomésticos;12439000;644000;2020;06-04-2020;Felipe Santos;Medellín;5;Tarjeta de crédito;5;625184;-7556359
Refrigerador;3;Electrodomésticos;20628000;1080000;2021;19-11-2021;Izabela de León;Cali;5;Tarjeta de crédito;1;343722;-765225
Lavavajillas;3;Electrodomésticos;12264000;712000;2022;06-06-2022;Beatriz Morales;Bogotá;5;Tarjeta de crédito;2;460971;-7408175
Cuerda para saltar;3;Deportes y diversión;211000;13000;2022;23-12-2022;Mariana Herrera;Bogotá;5;Cupón;1;460971;-7408175
Set de vasos;3;Artículos para el hogar;278000;17000;2021;24-08-2021;Santiago Silva;Medellín;1;Tarjeta de crédito;2;625184;-7556359
Olla de presión;3;Artículos para el hogar;684000;18000;2020;29-04-2020;Mariana Herrera;Medellín;3;Tarjeta de débito;1;625184;-7556359
Iphone 15;3;Electrónicos;19471000;1043000;2020;10-01-2020;Blanca Ramirez;Medellín;5;Tarjeta de crédito;3;625184;-7556359
Ajedrez de madera;3;Juguetes;248000;17000;2022;01-11-2022;Lucas Olivera;Bucaramanga;1;Tarjeta de crédito;1;712539;-731198
Cubo mágico 8x8;3;Juguetes;187000;0;2022;28-04-2022;Juan Fernandez;Bogotá;4;Tarjeta de crédito;3;460971;-7408175
Ciencia de datos con Python;3;Libros;509000;9000;2021;30-10-2021;Lucas Olivera;Bogotá;1;Tarjeta de crédito;3;460971;-7408175
Auriculares;3;Electrónicos;640000;16000;2022;29-11-2022;Santiago Silva;Bogotá;5;Tarjeta de crédito;5;460971;-7408175
Kit de bancas;3;Muebles;3129000;169000;2022;15-05-2022;Beatriz Morales;Medellín;5;Tarjeta de crédito;3;625184;-7556359
Guitarra eléctrica;3;Instrumentos musicales;8655000;443000;2021;14-04-2021;Izabela de León;Medellín;3;Tarjeta de crédito;10;625184;-7556359
Juego de mesa;3;Juguetes;1604000;67000;2021;10-11-2021;Juan Fernandez;Medellín;4;Tarjeta de crédito;6;625184;-7556359
Balón de voleibol;3;Deportes y diversión;589000;13000;2022;26-05-2022;Rafael Acosta;Bogotá;5;Tarjeta de crédito;3;460971;-7408175
Balón de baloncesto;3;Deportes y diversión;230000;17000;2022;15-12-2022;Blanca Ramirez;Bogotá;5;Tarjeta de crédito;2;460971;-7408175
Balón de voleibol;3;Deportes y diversión;456000;26000;2021;20-03-2021;Lucas Olivera;Bogotá;3;Tarjeta de crédito;2;460971;-7408175
Mesa de noche;3;Muebles;3328000;159000;2020;12-11-2020;Pedro Gomez;Cali;5;Tarjeta de crédito;6;343722;-765225
Set de ollas;3;Artículos para el hogar;1012000;36000;2020;28-04-2020;Maria Alfonso;Barranquilla;5;Tarjeta de crédito;4;1096854;-7478132
Iphone 15;3;Electrónicos;23839000;1272000;2021;25-12-2021;Lucas Olivera;Bogotá;5;Tarjeta de crédito;1;460971;-7408175
Mesa de comedor;3;Muebles;2442000;137000;2021;03-09-2021;Felipe Santos;Pereira;5;Tarjeta de crédito;4;481333;-7569611
Pandereta;3;Instrumentos musicales;422000;0;2022;09-10-2022;Izabela de León;Bogotá;1;Tarjeta de crédito;4;460971;-7408175
Cama king;3;Muebles;6252000;315000;2021;22-09-2021;Pedro Gomez;Medellín;5;Tarjeta de crédito;10;625184;-7556359
Smart TV;3;Electrónicos;17457000;911000;2023;04-02-2023;Ángel Rodriguez;Bogotá;5;Tarjeta de crédito;2;460971;-7408175
Cubo mágico 8x8;3;Juguetes;119000;0;2022;22-07-2022;Santiago Silva;Leticia;5;Tarjeta de crédito;1;-421528;-6994056
Celular ABXY;3;Electrónicos;9881000;528000;2022;27-02-2022;Lucas Olivera;Santa Marta;4;Tarjeta de crédito;4;1124079;-7419904
Armario;3;Muebles;5185000;258000;2020;22-05-2020;Santiago Silva;Bogotá;4;Tarjeta de crédito;6;460971;-7408175
Guitarra eléctrica;3;Instrumentos musicales;6993000;420000;2021;12-04-2021;Pedro Gomez;Bogotá;5;Tarjeta de crédito;1;460971;-7408175
Auriculares;3;Electrónicos;1121000;64000;2022;18-07-2022;Juan Fernandez;Medellín;1;Tarjeta de crédito;3;625184;-7556359
Microondas;3;Electrodomésticos;4203000;236000;2022;05-10-2022;Ángel Rodriguez;Bogotá;4;Tarjeta de crédito;1;460971;-7408175
Batería;3;Instrumentos musicales;4909000;264000;2022;21-04-2022;Blanca Ramirez;Villavicencio;4;Tarjeta de crédito;1;4142;-7362664
Bicicleta;3;Deportes y diversión;6469000;326000;2023;18-03-2023;Blanca Ramirez;Bogotá;5;Nequi;1;460971;-7408175
Cubo mágico 8x8;3;Juguetes;180000;16000;2022;27-05-2022;Santiago Silva;Villavicencio;3;Tarjeta de crédito;10;4142;-7362664
Juego de mesa;3;Juguetes;1678000;71000;2021;28-04-2021;Felipe Santos;Bogotá;5;Nequi;1;460971;-7408175
Iniciando en programación;3;Libros;501000;9000;2020;28-10-2020;Izabela de León;Riohacha;3;Tarjeta de crédito;1;1154444;-7290722
Tablet ABXY;3;Electrónicos;16113000;860000;2020;19-04-2020;Blanca Ramirez;Medellín;1;Tarjeta de crédito;3;625184;-7556359
Ciencia de datos con Python;3;Libros;607000;14000;2020;31-07-2020;Blanca Ramirez;Medellín;3;Nequi;1;625184;-7556359
Sofá reclinable;3;Muebles;6604000;334000;2023;26-02-2023;Izabela de León;Bogotá;5;Tarjeta de crédito;1;460971;-7408175
Muñeca bebé;3;Juguetes;450000;0;2022;27-11-2022;Rafael Acosta;Bogotá;1;Tarjeta de crédito;5;460971;-7408175
Estufa;3;Electrodomésticos;9334000;479000;2022;06-08-2022;Juan Fernandez;Bogotá;5;Tarjeta de crédito;2;460971;-7408175
Vaso térmico;3;Deportes y diversión;627000;57000;2022;20-04-2022;Felipe Santos;Bogotá;5;Tarjeta de crédito;10;460971;-7408175
TV LED UHD 4K;3;Electrónicos;27995000;1473000;2020;20-08-2020;Maria Alfonso;Bogotá;5;Tarjeta de crédito;1;460971;-7408175
Guitarra eléctrica;3;Instrumentos musicales;7184000;386000;2021;01-02-2021;Santiago Silva;Bogotá;5;Tarjeta de crédito;1;460971;-7408175
Asistente virtual;3;Electrónicos;2212000;122000;2022;21-04-2022;Santiago Silva;Bogotá;3;Nequi;1;460971;-7408175
Set de vasos;3;Artículos para el hogar;195000;0;2020;08-03-2020;Felipe Santos;Bogotá;4;Nequi;1;460971;-7408175
Secadora de ropa;3;Electrodomésticos;13765000;737000;2022;13-02-2022;Izabela de León;Bogotá;1;Tarjeta de crédito;8;460971;-7408175
Balón de baloncesto;3;Deportes y diversión;394000;25000;2021;19-06-2021;Juan Fernandez;Bogotá;5;Nequi;1;460971;-7408175
Sillón;3;Muebles;2537000;137000;2020;21-04-2020;Maria Alfonso;Medellín;5;Tarjeta de crédito;5;625184;-7556359
Cama king;3;Muebles;4004000;217000;2020;29-01-2020;Santiago Silva;Bogotá;4;Nequi;1;460971;-7408175
Vaso térmico;3;Deportes y diversión;269000;16000;2022;07-02-2022;Camila Rivera;Bogotá;5;Tarjeta de crédito;1;460971;-7408175
Tablet ABXY;3;Electrónicos;10196000;547000;2021;19-06-2021;Juliana Costa;Cali;5;Tarjeta de crédito;10;343722;-765225
Estufa;3;Electrodomésticos;4490000;221000;2021;15-01-2021;Camila Rivera;Bogotá;5;Tarjeta de crédito;1;460971;-7408175
Estufa;3;Electrodomésticos;6854000;367000;2020;15-03-2020;Ángel Rodriguez;Bogotá;5;Nequi;1;460971;-7408175
Kit de bancas;3;Muebles;2358000;107000;2021;04-09-2021;Maria Alfonso;Medellín;5;Tarjeta de crédito;6;625184;-7556359
